target,step,module,model_head,candidate,n_components,cv_n,cv_rmse,cv_mae,cv_bias,cv_r2,cv_spearman_r,cv_rounded_within_1_step_pct,cv_rounded_over_1_step_pct,cv_tolerance_loss,cv_step_mse,cv_step_mae,cv_low_n,cv_low_rmse,first_n,process_weight,logistic_c,pooling
eHA,P1,P0 + process-time descriptors,ordinal-threshold probability,eHA_P1_first15_pls6_ptime1_C1_poolstep_mean,6,46,1.1336742880141315,0.8869565217391304,-0.26086956521739124,0.7793313859136644,0.8983193262905254,82.6086956521739,17.391304347826086,0.37391304347826093,1.391304347826087,0.8695652173913043,27,1.152131679716953,15.0,1.0,1.0,step_mean
eHA,P1,P0 + process-time descriptors,ordinal-threshold probability,eHA_P1_first15_pls8_ptime1_C0p3_poolstep_mean,8,46,1.1813772360736612,0.9869565217391305,-0.23043478260869568,0.7603700097370983,0.8911364517213842,82.6086956521739,17.391304347826086,0.3793478260869566,1.5,0.9782608695652174,27,1.1450376024878446,15.0,1.0,0.3,step_mean
eHA,P1,P0 + process-time descriptors,ordinal-threshold probability,eHA_P1_first15_pls6_ptime0p25_C0p3_poolstep_mean,6,46,1.1639512913759116,0.9478260869565216,-0.3217391304347825,0.7673872119441739,0.9078397397156377,82.6086956521739,17.391304347826086,0.3804347826086957,1.5217391304347827,1.0,27,1.057600358603626,15.0,0.25,0.3,step_mean
eHA,P1,P0 + process-time descriptors,ordinal-threshold probability,eHA_P1_first15_pls6_ptime1_C3_poolstep_mean,6,46,1.1100332936644188,0.8391304347826087,-0.2826086956521739,0.7884388185654008,0.9056395094592604,84.78260869565217,15.217391304347828,0.4173913043478262,1.391304347826087,0.8260869565217391,27,1.147622340771143,15.0,1.0,3.0,step_mean
eHA,P1,P0 + process-time descriptors,ordinal-threshold probability,eHA_P1_first15_pls6_ptime0p5_C0p3_poolstep_mean,6,46,1.1587099273123425,0.9130434782608694,-0.28695652173913044,0.7694774423888348,0.8947888955123285,84.78260869565217,15.217391304347828,0.42282608695652185,1.5,0.9347826086956522,27,1.1168739442781388,15.0,0.5,0.3,step_mean
eHA,P1,P0 + process-time descriptors,ordinal-threshold probability,eHA_P1_first15_pls6_ptime1_C0p3_poolstep_mean,6,46,1.2423680054112651,0.9869565217391304,-0.22173913043478263,0.7349886400519312,0.8771367354616554,84.78260869565217,15.217391304347828,0.49565217391304356,1.6521739130434783,1.0,27,1.215943468471507,15.0,1.0,0.3,step_mean
eHA,H1,P0 + HA-aware readout,ordinal-threshold probability,eHA_H1_first15_pls10_ptime0_C3_poolprob_mean,10,46,1.0,0.6956521739130435,-0.21739130434782608,0.8283024991885751,0.9283713177807531,89.13043478260869,10.869565217391305,0.22391304347826088,1.0,0.6956521739130435,27,1.0540925533894598,15.0,0.0,3.0,prob_mean
eHA,H1,P0 + HA-aware readout,ordinal-threshold probability,eHA_H1_first15_pls8_ptime0_C3_poolprob_mean,8,46,1.0425720702853738,0.782608695652174,-0.13043478260869565,0.813372281726712,0.9222704948998866,89.13043478260869,10.869565217391305,0.22826086956521743,1.0869565217391304,0.782608695652174,27,1.0715167512214394,15.0,0.0,3.0,prob_mean
eHA,H1,P0 + HA-aware readout,ordinal-threshold probability,eHA_H1_first15_pls6_ptime0_C3_poolprob_mean,6,46,1.132523154576618,0.8043478260869565,-0.2826086956521739,0.7797792924375202,0.9096799918715882,80.43478260869566,19.565217391304348,0.325,1.2826086956521738,0.8043478260869565,27,1.1055415967851334,15.0,0.0,3.0,prob_mean
eHA,H1,P0 + HA-aware readout,ordinal-threshold probability,eHA_H1_first15_pls8_ptime0_C1_poolprob_mean,8,46,1.132523154576618,0.8478260869565217,-0.1956521739130435,0.7797792924375202,0.9074413096259918,86.95652173913044,13.043478260869565,0.32500000000000007,1.2826086956521738,0.8478260869565217,27,1.1385500851066221,15.0,0.0,1.0,prob_mean
